规范,条文,条文内容
GB50016-2014(2018年版),3.1.1,生产的火灾危险性应根据生产中使用或产生的物质性质及其数量等因素划分，可分为甲、乙、丙、丁、戊类，并应符合表3.1.1的规定。
GB50016-2014(2018年版),3.1.2-1,同一座厂房或厂房的任一防火分区内有不同火灾危险性生产时，厂房或防火分区内的生产火灾危险性类别应按火灾危险性较大的部分确定；当生产过程中使用或产生易燃、可燃物的量较少，不足以构成爆炸或火灾危险时，可按实际情况确定；当符合下述条件之一时，可按火灾危险性较小的部分确定：火灾危险性较大的生产部分占本层或本防火分区建筑面积的比例小于5％或丁、戊类厂房内的油漆工段小于10％，且发生火灾事故时不足以蔓延至其他部位或火灾危险性较大的生产部分采取了有效的防火措施；
GB50016-2014(2018年版),3.1.2-2,同一座厂房或厂房的任一防火分区内有不同火灾危险性生产时，厂房或防火分区内的生产火灾危险性类别应按火灾危险性较大的部分确定；当生产过程中使用或产生易燃、可燃物的量较少，不足以构成爆炸或火灾危险时，可按实际情况确定；当符合下述条件之一时，可按火灾危险性较小的部分确定：丁、戊类厂房内的油漆工段，当采用封闭喷漆工艺，封闭喷漆空间内保持负压、油漆工段设置可燃气体探测报警系统或自动抑爆系统，且油漆工段占所在防火分区建筑面积的比例不大于20％。
GB50016-2014(2018年版),3.1.3,储存物品的火灾危险性应根据储存物品的性质和储存物品中的可燃物数量等因素划分，可分为甲，乙、丙、丁、戊类，并应符合表3.1.3的规定。
GB50016-2014(2018年版),3.1.4,同一座仓库或仓库的任一防火分区内储存不同火灾危险性物品时，仓库或防火分区的火灾危险性应按火灾危险性最大的物品确定。
GB50016-2014(2018年版),3.1.5,丁、戊类储存物品仓库的火灾危险性，当可燃包装重量大于物品本身重量1／4或可燃包装体积大于物品本身体积的1／2时，应按丙类确定。
GB50016-2014(2018年版),3.2.1,厂房和仓库的耐火等级可分为一、二、三、四级，相应建筑构件的燃烧性能和耐火极限，除本规范另有规定外，不应低于表3.2.1的规定。
GB50016-2014(2018年版),3.2.2,高层厂房，甲、乙类厂房的耐火等级不应低于二级，建筑面积不大于300m2的独立甲、乙类单层厂房可采用三级耐火等级的建筑。
GB50016-2014(2018年版),3.2.3,单、多层丙类厂房和多层丁、戊类厂房的耐火等级不应低于三级。使用或产生丙类液体的厂房和有火花、赤热表面、明火的丁类厂房，其耐火等级均不应低于二级，当为建筑面积不大于500m2的单层丙类厂房或建筑面积不大于1000m2的单层丁类厂房时，可采用三级耐火等级的建筑。
GB50016-2014(2018年版),3.2.4,使用或储存特殊贵重的机器、仪表、仪器等设备或物品的建筑，其耐火等级不应低于二级。
GB50016-2014(2018年版),3.2.5,锅炉房的耐火等级不应低于二级，当为燃煤锅炉房且锅炉的总蒸发量不大于4t／h时，可采用三级耐火等级的建筑。
GB50016-2014(2018年版),3.2.6,油浸变压器室、高压配电装置室的耐火等级不应低于二级，其他防火设计应符合现行国家标准《火力发电厂与变电站设计防火规范》GB?50229等标准的规定。
GB50016-2014(2018年版),3.2.7,高架仓库、高层仓库、甲类仓库、多层乙类仓库和储存可燃液体的多层丙类仓库，其耐火等级不应低于二级。单层乙类仓库，单层丙类仓库，储存可燃固体的多层丙类仓库和多层丁、戊类仓库，其耐火等级不应低于三级。
GB50016-2014(2018年版),3.2.8,粮食筒仓的耐火等级不应低于二级；二级耐火等级的粮食筒仓可采用钢板仓。粮食平房仓的耐火等级不应低于三级；二级耐火等级的散装粮食平房仓可采用无防火保护的金属承重构件。
GB50016-2014(2018年版),3.2.9,甲、乙类厂房和甲、乙、丙类仓库内的防火墙，其耐火极限不应低于4.00h。
GB50016-2014(2018年版),3.2.10,一、二级耐火等级单层厂房(仓库)的柱，其耐火极限分别不应低于2.50h和2.00h。
GB50016-2014(2018年版),3.2.11,采用自动喷水灭火系统全保护的一级耐火等级单、多层厂房(仓库)的屋顶承重构件，其耐火极限不应低于1.00h。
GB50016-2014(2018年版),3.2.12,除甲、乙类仓库和高层仓库外，一、二级耐火等级建筑的非承重外墙，当采用不燃性墙体时，其耐火极限不应低于0.25h；当采用难燃性墙体时，不应低于0.50h。4层及4层以下的一、二级耐火等级丁、戊类地上厂房(仓库)的非承重外墙，当采用不燃性墙体时，其耐火极限不限。
GB50016-2014(2018年版),3.2.13,二级耐火等级厂房(仓库)内的房间隔墙，当采用难燃性墙体时，其耐火极限应提高0.25h。
GB50016-2014(2018年版),3.2.14,二级耐火等级多层厂房和多层仓库内采用预应力钢筋混凝土的楼板，其耐火极限不应低于0.75h。
GB50016-2014(2018年版),3.2.15,一、二级耐火等级厂房(仓库)的上人平屋顶，其屋面板的耐火极限分别不应低于1.50h和1.00h。
GB50016-2014(2018年版),3.2.16,一、二级耐火等级厂房(仓库)的屋面板应采用不燃材料。屋面防水层宜采用不燃、难燃材料，当采用可燃防水材料且铺设在可燃、难燃保温材料上时，防水材料或可燃、难燃保温材料应采用不燃材料作防护层。
GB50016-2014(2018年版),3.2.17,建筑中的非承重外墙、房间隔墙和屋面板，当确需采用金属夹芯板材时，其芯材应为不燃材料，且耐火极限应符合本规范有关规定。
