index,title,year,authors,venue,doi,url,pdf_url,local_pdf,download_status,citation_count,relevance_score,source_query,abstract,notes
1,Large Language Model-Driven Code Compliance Checking in Building Information Modeling,2025,Soumya Madireddy; Lu Gao; Zia Ud Din; Kinam Kim; Ahmed Senouci; Zhe Han; Yunpeng Zhang,Electronics,10.3390/electronics14112146,https://openalex.org/W4410721890,https://www.mdpi.com/2079-9292/14/11/2146/pdf?version=1748220287,,download_failed: HTTPError: HTTP Error 403: Forbidden,23,73,large language model building code compliance checking,"This research addresses the time-consuming and error-prone nature of manual code compliance checking in Building Information Modeling (BIM) by introducing a Large Language Model (LLM)-driven approach to semi-automate this critical process. The developed system integrates LLMs such as ChatGPT, Claude, Gemini, and Llama, with Revit software to interpret building codes, generate Python scripts, and perform semi-automated compliance checks within the BIM environment. Case studies on a single-family residential project and an office building project demonstrated the system’s ability to reduce the time and effort required for compliance checks while improving accuracy. It streamlined the identification of violations, such as non-compliant room dimensions, material usage, and object placements, by automatically assessing relationships and generating actionable reports. Compared to manual methods, the system eliminated repetitive tasks, simplified complex regulations, and ensured reliable adherence to standards. By offering a comprehensive, adaptable, and cost-effective solution, this proposed approach offers a promising advancement in BIM-based compliance checking, with potential applications across diverse regulatory documents in construction projects.",
2,Using Large Language Models for the Interpretation of Building Regulations,2024,Stefan Fuchs; Michael Witbrock; Johannes Dimyadi; Robert Amor,Journal of Engineering Project and Production Management,10.32738/jeppm-2024-0035,https://openalex.org/W4404814007,,,no_open_access_pdf_advertised,8,73,large language model building code compliance checking,"Compliance checking is an essential part of a construction project. The recent rapid uptake of building information models (BIM) in the construction industry has created more opportunities for automated compliance checking (ACC). BIM enable sharing of digital building design data that can be used to check compliance with legal requirements, which are conventionally conveyed in natural language and not intended for machine processing. Creating a computable representation of legal requirements suitable for ACC is complex, costly, and time-consuming. Large language models (LLMs) such as the generative pre-trained transformers (GPT), GPT-3.5 and GPT-4, powering OpenAI’s ChatGPT, can generate logically coherent text and source code responding to user prompts. This capability could be used to automate the conversion of building regulations into a semantic and computable representation. This paper evaluates the performance of LLMs in translating building regulations into LegalRuleML in a few-shot learning setup. By providing GPT-3.5 with only a few example translations, it can learn the basic structure of the format. Using a system prompt, we further specify the LegalRuleML representation and explore the existence of expert domain knowledge in the model. Such domain knowledge might be ingrained in GPT-3.5 through the broad pre-training but needs to be brought forth by careful contextualisation. Finally, we investigate whether strategies such as chain-of-thought reasoning and self-consistency could apply to this use case. As LLMs become more sophisticated, the increased common sense, logical coherence and means to domain adaptation can significantly support ACC, leading to more efficient and effective checking processes.",
3,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,2024,Nanting Chen; Xuhui Lin; Hai Jiang; Yi An,Buildings,10.3390/buildings14071983,https://openalex.org/W4400209938,https://www.mdpi.com/2075-5309/14/7/1983/pdf?version=1719814060,,download_failed: HTTPError: HTTP Error 403: Forbidden,68,69,large language model building code compliance checking,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large, annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities. However, their application in the AEC field is still limited by the need for fine-tuning for specific tasks, handling complex texts with nested clauses and conditional statements. This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models. The use of LLM is motivated by its few-shot learning capability, which significantly reduces the need for large, annotated datasets required by previous methods. Deep learning is employed to preliminarily classify regulatory texts, which further enhances the accuracy of structured information extraction by the LLM compared to directly feeding raw data into the LLM. This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention. This approach is crucial for architects, engineers, project managers, and regulators, providing a scalable and adaptable solution for automated compliance in the construction industry with broad application prospects.",
4,Semantic web-based automated compliance checking with integration of Finite Element analysis,2024,Panagiotis Patlakas; Ioannis P. Christovasilis; Lorenzo Riparbelli; Franco Cheung; Edlira Vakaj,Advanced Engineering Informatics,10.1016/j.aei.2024.102448,https://openalex.org/W4392807172,,,no_open_access_pdf_advertised,21,69,automated code compliance checking building regulations BIM,"Automatic Compliance Checking (ACC) is a promising response to the challenges involved in meeting building and planning regulations, and increasingly utilised by researchers in the context of Building Information Modelling (BIM) and the Industry Foundation Classes (IFC). However, engineers often use computational methods, such as Finite Element Analysis (FEA), to solve challenging engineering problems. Such methods have received little attention in the context of ACC and BIM. The work presented here proposes a holistic approach, integrating FEA in the IFC schema, and utilising a Semantic Web-based system for ACC. A top-level ontology, the Building Compliance Ontology (BCO) is proposed, with the aim of covering all aspects of compliance in the Built Environment. One novelty of BCO is that it revolves around modelling statements in the building regulations, as opposed to the more common approach of modelling building components. In order to evaluate the effectiveness and applicability of this process, a real-world problem is used: the compliance to the structural engineering design codes of the structural members of a modular steel structure. An open-source solver is utilised for the FEA, and the IFC model is enriched with its results, using an open-source middleware for the Input/Output. BCO is extended to the field of structural engineering, and appropriate ACC classes and SHACL checks are implemented. Compliance is checked automatically by running SHACL scripts in a Semantic Web environment.",
5,An Automated Fire Code Compliance Checking Jointly Using Building Information Models and Natural Language Processing,2023,Yukang Wang; Yue Liu; Haozhe Cai; Jia Wang; Xiaoping Zhou,Fire,10.3390/fire6090358,https://openalex.org/W4386711838,https://www.mdpi.com/2571-6255/6/9/358/pdf?version=1694577802,,download_failed: HTTPError: HTTP Error 403: Forbidden,18,68,automated compliance checking BIM building code,"Fire checking is indispensable for guaranteeing the fire safety of buildings as it reviews the compliance of the building with fire codes and regulations. Automated Compliance Checking (ACC) systems that check building data utilizing Building Information Modeling (BIM) against fire codes have emerged as an active field of research. Substantial efforts have focused on analyzing the properties of the building components. However, the analysis of the spatial geometric relationships of building components has received inadequate attention. The present study proposes a novel ACC system leveraging Natural Language Processing (NLP) techniques to review the spatial geometric relationships of building components in BIM models. First, a framework for a BIM-based ACC system is delineated and decomposes ACC into three constituent subtasks: building model parsing, code knowledge translation, and compliance check result reporting. Second, an approach for structured processing of spatial geometric stipulations in fire codes using NLP is presented to review the geometric relationships between components in building models. Finally, the system’s performance is assessed by testing fire code compliance across various building types utilizing BIM models. The empirical findings demonstrate that the system achieves superior recall compared with the manually formulated gold standard, with the ACC system enabling quick, accurate, and comprehensive automated compliance checking.",
6,"Invariant Signature, Logic Reasoning, and Semantic Natural Language Processing (NLP)-Based Automated Building Code Compliance Checking (I-SNACC) Framework",2023,Jin Wu; Xiaorui Xue; Jiansong Zhang,Journal of Information Technology in Construction,10.36680/j.itcon.2023.001,https://openalex.org/W4317829652,http://www.itcon.org/papers/2023_01-ITcon-Wu.pdf,pdfs/06_2023_Invariant_Signature__Logic_Reasoning__and_Semantic_Natural_Language_Processing_(NLP)-Based_Automated_Building_Co.pdf,downloaded_open_access_pdf,23,64,automated compliance checking BIM building code,"Traditional manual building code compliance checking is costly, time-consuming, and human error-prone. With the adoption of Building Information Modeling (BIM), automation in such a checking process becomes more feasible. However, existing methods still face limited automation when applied to different building codes. To address that, in this paper, the authors proposed a new framework that requires minimal input from users and strives for full automation, namely, the Invariant signature, logic reasoning, and Semantic Natural language processing (NLP)-based Automated building Code compliance Checking (I-SNACC) framework. The authors developed an automated building code compliance checking (ACC) prototype system under this framework and tested it on Chapter 10 of the International Building Codes 2015 (IBC 2015). The system was tested on two real projects and achieved 95.2% precision and 100% recall in non-compliance detection. The experiment showed that the framework is promising in building code compliance checking. Compared to the state-of-the-art methods, the new framework increases the degree of automation and saves manual efforts for finding non-compliance cases.",
7,A BIM-based framework for automated building code extraction and compliance checking,2026,Sven Zentgraf; P. Hagedorn; Markus König,Advanced Engineering Informatics,10.1016/j.aei.2026.104735,https://openalex.org/W7160836793,,,no_open_access_pdf_advertised,1,62,automated compliance checking BIM building code,"Automated code-compliance checking based on Building Information Modeling (BIM) has received increasing attention in recent years. However, many existing approaches rely on manually formalized rules derived from non-machine-readable standards and building codes, which limits scalability and hampers adaptability to regulatory changes. This paper presents a framework for the automated extraction and formalization of building code information requirements by leveraging Level 4 Smart Standards encoded in the National Information Standards Organization (NISO) Standards Tag Suite (STS) in combination with the ISOProps ontology. The proposed procedure generates machine-interpretable validation rules using the Shapes Constraint Language (SHACL), which can be directly applied to BIM models to produce structured compliance validation reports. The framework is demonstrated through a proof-of-concept implementation that uses real-world building regulations to verify the compliance of calcium silicate masonry units based on IFC models. The results indicate a substantial reduction in manual rule-modeling effort while enabling consistent compliance assessment across multiple regulatory revisions. Overall, the proposed approach supports more maintainable, transparent, and scalable compliance checking workflows, contributing to the digitalization and automation of regulatory approval processes.",
8,Model Validation Using Invariant Signatures and Logic-Based Inference for Automated Building Code Compliance Checking,2022,Jin Wu; Jiansong Zhang,Journal of Computing in Civil Engineering,10.1061/(asce)cp.1943-5487.0001002,https://openalex.org/W4210841278,,,no_open_access_pdf_advertised,22,60,automated compliance checking BIM building code,"Fully automated building code compliance checking (ACC) requires accurate information extraction from both building information models (BIMs) and building code chapters, and equally (if not more) importantly, a precise matching between the two. Although research on information extraction has been extensively conducted for ACC, there is a lack of investigation of automated and practical information mapping between the extracted information, from BIMs to building code requirements. To address this gap, the authors proposed a new method for BIM model validation to validate an input Industry Foundation Classes (IFC) model with regard to building code concepts. This validation method was supported by creating invariant signatures of architecture, engineering, and construction (AEC) objects that capture the geometric nature of the objects. Target concepts from building codes are classified into four categories: (1) explicit concepts, (2) inferable concepts, (3) user-assisted concepts, and (4) system defaults. Identification algorithms are developed for all four categories based on the invariant signatures of AEC objects. An experiment was conducted to test the proposed method on validating five real commercial project models with selected concepts from a current building code. Compared with a manually developed gold standard, 99.8% precision and 99.6% recall were achieved. This demonstrates that the proposed method is promising in supporting information matching between BIMs and building code concepts for ACC purpose.",
9,A blockchain-based framework for supporting BIM-based building code compliance checking workflow,2022,Han Gao; Binlong Zhong,IOP Conference Series Materials Science and Engineering,10.1088/1757-899x/1218/1/012016,https://openalex.org/W4210600645,,,no_open_access_pdf_advertised,10,60,automated compliance checking BIM building code,"Abstract Code compliance checking of building designs is an essential task during the design and construction process, this process is time-consuming and laborious, and there is a risk of human manipulation, collusion and tampering with the results during the process. Existing BIM automated compliance checking technologies can reduce human errors and automatically output drawing review reports in some domains. But there are still few provisions that can be automatically reviewed, and most of the provisions still require human intervention. This research proposes a blockchain-based framework for managing both automated and manual compliance review processes in a BIM environment. The framework is developed to help improve the traceability and transparency of the compliance review process in the BIM environment. The framework includes on-chain and off-chain solutions for addressing the management issues in the code checking process. The prospects of the solution, challenges in implementation and future research directions were discussed.",
10,Towards Automated Structural Stability Design of Buildings—A BIM-Based Solution,2022,Satinder Kaur Khattra; Hardeep Singh; Jagbir Singh,Buildings,10.3390/buildings12040451,https://openalex.org/W4224217653,https://www.mdpi.com/2075-5309/12/4/451/pdf?version=1649237611,,download_failed: HTTPError: HTTP Error 403: Forbidden,19,59,automated compliance checking BIM building code,"Building information modelling (BIM) is a revolution in the architectural, engineering, and construction (AEC) industry. In the AEC industry, several interesting innovations are being introduced every day. Most of the code compliance work, which is time-consuming and quite multifaceted, is now performed manually. The number of unwanted errors is increasing, and any suspension of the project is led by the structural code-checking system, and is a tiresome process. Subsequently, the BIM-based model is presented to automate the structural stability design of buildings. The Industry Foundation Classes (IFC) specification is introduced in this work, and is used to automate the building design processes to achieve design correctness and efficiency. The IFC-based interoperability framework is presented to automate the design of structural elements of RC buildings. Consequently, a deep multi-perception-based generalized adaptive framework (DMPBGAF) is presented for the automated code compliance checking process. The concepts and relationships in the building code were automatically matched to their equivalent concepts. A building code was checked against the Indian seismic code IS 13920, and when shear wall data were presented in this IFC file, it exchanged the data with the custom engine. It is possible to eliminate the unwanted issues based on the automated code compliance system with BIM. This goal can be accomplished by using a coding rule-based engine to compile the BIM model and store the design code of the specific country with its clauses. After generating the Python file to code all of the prepared checks, the python file in the form of functions was obtained from the IfcOpenShell library. Finally, a rule engine was developed for interpretation of the checks; the three model IFC files were tested on this, and it gave satisfactory results. The FreeCAD software was employed in this research for the IFC-based BIM model to automate the design. The shear wall data were presented in the first IFC model; all of the code checks were passed based on this modelled design, and when given to the rule engine, it gave a 100% compliance report. Insufficiently reinforced shear wall data contained in the other two IFC files were purposely created to fail some of the code checks. This method significantly reduces the time by eliminating the duplication of efforts. From the viewpoint of accuracy and reliability, the proposed method is more accurate and results in enhanced reliability as compared to manual design methods.",
